"Meses","Desviacion","Perimetro_cefalico","sexo"
31,"+3 SD","52.3","niña"
32,"+3 SD","52.4","niña"
33,"+3 SD","52.5","niña"
34,"+3 SD","52.6","niña"
35,"+3 SD","52.7","niña"
36,"+3 SD","52.7","niña"
37,"+3 SD","52.8","niña"
38,"+3 SD","52.9","niña"
39,"+3 SD","53.0","niña"
40,"+3 SD","53.1","niña"
41,"+3 SD","53.1","niña"
42,"+3 SD","53.2","niña"
43,"+3 SD","53.3","niña"
44,"+3 SD","53.3","niña"
45,"+3 SD","53.4","niña"
46,"+3 SD","53.5","niña"
47,"+3 SD","53.5","niña"
48,"+3 SD","53.6","niña"
49,"+3 SD","53.6","niña"
50,"+3 SD","53.7","niña"
51,"+3 SD","53.8","niña"
52,"+3 SD","53.8","niña"
53,"+3 SD","53.9","niña"
54,"+3 SD","53.9","niña"
55,"+3 SD","54.0","niña"
56,"+3 SD","54.0","niña"
57,"+3 SD","54.1","niña"
58,"+3 SD","54.1","niña"
59,"+3 SD","54.1","niña"
60,"+3 SD","54.2","niña"
